code,label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Cousin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1042,Cousin-in-law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Great grandchild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,"Other relatives, n.e.c.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NON-RELATIVES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,"Partner, friend, visitor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,Partner/friend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,Friend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,Partner/roommate (1980 residual category for other non-relatives),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,Unmarried partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,Housemate/roommate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Relative of partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Concubine/mistress and children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Visitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,Companion and companion's family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Allocated partner/friend/visitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Roomer/boarders/lodgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Foster children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Domestic employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,Non-domestic employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Relative of employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,Other non-relatives (1990 includes employees),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group quarters members:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,"Non-inmate 1990 (includes military, students, employees, boarders)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281,Head of group quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,Employee of group quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283,"Relative of head, staff, or employee group quarters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284,"Other non-inmate 1940-1950 (includes boarders, students, military)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,Military,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,College dormitories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,Residents of rooming houses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,Other non-inmate 1980 (includes employees and non-inmates in institutions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,Other non-inmates 1960-1970 (includes employees),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,Non-inmates in institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301,Institutional inmates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
